PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ShortName,HeightFeet,HeightInches,TeamID,GlobalTeamID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
549,,,Matt,Prater,K,Inactive,"5'10""",175,1984-08-10T00:00:00,Central Florida,23.0,K,False,ST,Matt Prater,41.0,M.Prater,5,10,,0,8373585.0,http://cdn.imagn.com/api/download/?imageID=24101652,http://cdn.imagn.com/api/download/?imageID=24101651,2024-08-29T08:52:35,2024-08-29T08:52:28
611,CIN,16.0,Joe,Flacco,QB,Active,"6'6""",245,1985-01-16T00:00:00,Delaware,22.0,QB,True,OFF,Joe Flacco,41.0,J.Flacco,6,6,7.0,7,8374849.0,http://cdn.imagn.com/api/download/?imageID=26989780,http://cdn.imagn.com/api/download/?imageID=26989781,2025-09-03T10:49:44,2025-09-03T10:49:49
732,,,Matt,Ryan,QB,Inactive,"6'4""",220,1985-05-17T00:00:00,Boston College,19.0,QB,False,OFF,Matt Ryan,40.0,M.Ryan,6,4,,0,8299794.0,http://cdn.usatsimg.com/api/download/?imageID=18963036,http://cdn.usatsimg.com/api/download/?imageID=17528047,2022-09-01T10:31:43,2022-01-19T01:13:56
1410,,,Robbie,Gould,K,Inactive,"6'0""",190,1982-12-06T00:00:00,Penn State,22.0,K,False,ST,Robbie Gould,43.0,R.Gould,6,0,,0,8249641.0,http://cdn.usatsimg.com/api/download/?imageID=18999989,http://cdn.usatsimg.com/api/download/?imageID=19001309,2022-09-07T14:45:48,2022-09-07T18:02:12
1694,,,Mason,Crosby,K,Inactive,"6'1""",207,1984-09-03T00:00:00,Colorado,20.0,K,False,ST,Mason Crosby,41.0,M.Crosby,6,1,,0,8336107.0,http://cdn.usatsimg.com/api/download/?imageID=18994609,http://cdn.usatsimg.com/api/download/?imageID=19000821,2022-09-06T15:56:54,2022-09-07T17:00:13
2405,,,Chad,Henne,QB,Inactive,"6'3""",230,1985-07-02T00:00:00,Michigan,17.0,QB,False,OFF,Chad Henne,40.0,C.Henne,6,3,,0,8257243.0,http://cdn.usatsimg.com/api/download/?imageID=19091069,http://cdn.usatsimg.com/api/download/?imageID=19091068,2022-09-22T13:21:06,2022-09-22T13:21:03
2593,,,Aaron,Rodgers,QB,Inactive,"6'2""",223,1983-12-02T00:00:00,California,24.0,QB,False,OFF,Aaron Rodgers,42.0,A.Rodgers,6,2,,0,8372789.0,http://cdn.imagn.com/api/download/?imageID=27432001,http://cdn.imagn.com/api/download/?imageID=27432002,2025-10-27T16:33:14,2025-10-27T16:33:19
3061,,,Marcedes,Lewis,TE,Inactive,"6'6""",265,1984-05-19T00:00:00,UCLA,23.0,TE,False,OFF,Marcedes Lewis,41.0,M.Lewis,6,6,,0,8375587.0,http://cdn.imagn.com/api/download/?imageID=24050855,http://cdn.imagn.com/api/download/?imageID=24050854,2024-08-22T12:25:27,2024-08-22T12:25:20
3100,,,Andy,Lee,P,Inactive,"6'1""",185,1982-08-11T00:00:00,Pittsburgh,23.0,P,False,ST,Andy Lee,43.0,A.Lee,6,1,,0,8249414.0,http://cdn.usatsimg.com/api/download/?imageID=16550599,http://cdn.usatsimg.com/api/download/?imageID=16550600,2021-08-11T20:20:24,2021-08-11T20:20:57
3341,,,Calais,Campbell,DT,Inactive,"6'8""",315,1986-09-01T00:00:00,Miami (FL),21.0,DL,False,DEF,Calais Campbell,39.0,C.Campbell,6,8,,0,8372112.0,http://cdn.imagn.com/api/download/?imageID=26972822,http://cdn.imagn.com/api/download/?imageID=26972823,2025-08-31T15:13:06,2025-08-31T15:13:15
3617,,,Duane,Brown,OT,Inactive,"6'4""",329,1985-08-30T00:00:00,Virginia Tech,20.0,OL,False,OFF,Duane Brown,40.0,D.Brown,6,4,,0,8299537.0,http://cdn.usatsimg.com/api/download/?imageID=21319609,http://cdn.usatsimg.com/api/download/?imageID=21331480,2023-09-01T08:59:58,2023-09-02T15:37:22
3923,,,Muhsin,Muhammad II,WR,Inactive,"6'2""",215,1973-05-05T00:00:00,Michigan State,,WR,False,OFF,Muhsin Muhammad II,52.0,M.Muhammad II,6,2,,0,,,,,
3943,,,DeSean,Jackson,WR,Inactive,"5'10""",175,1986-12-01T00:00:00,California,17.0,WR,False,OFF,DeSean Jackson,39.0,D.Jackson,5,10,,0,8306446.0,http://cdn.usatsimg.com/api/download/?imageID=17255816,http://cdn.usatsimg.com/api/download/?imageID=17255815,2021-11-29T12:48:14,2021-11-29T12:48:06
