GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,AwayScore,HomeScore,Channel,PointSpread,OverUnder,Quarter,TimeRemaining,Possession,Down,Distance,YardLine,YardLineTerritory,RedZone,AwayScoreQuarter1,AwayScoreQuarter2,AwayScoreQuarter3,AwayScoreQuarter4,AwayScoreOvertime,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,HomeScoreOvertime,HasStarted,IsInProgress,IsOver,Has1stQuarterStarted,Has2ndQuarterStarted,Has3rdQuarterStarted,Has4thQuarterStarted,IsOvertime,DownAndDistance,QuarterDescription,StadiumID,LastUpdated,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,Canceled,Closed,LastPlay,Day,DateTime,AwayTeamID,HomeTeamID,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,PointSpreadAwayTeamMoneyLine,PointSpreadHomeTeamMoneyLine,ScoreID,Status,GameEndDateTime,HomeRotationNumber,AwayRotationNumber,NeutralVenue,RefereeID,OverPayout,UnderPayout,HomeTimeouts,AwayTimeouts,DateTimeUTC,Attendance,IsClosed,StadiumDetails
202510126,1,2025,1,2025-09-04T20:20:00,DAL,PHI,33,40,NBC,-13.3,78.7,F,,,,Scrambled,,,,12,22,0,0,0,12,23,8,0,0,True,False,True,True,True,True,True,False,,Final,18,2025-09-09T22:57:20,,,65,68,Light Rain,68,4,575,-727,False,True,Scrambled,2025-09-04T00:00:00,2025-09-04T20:20:00,9,26,19039,9,26,-186,-179,19039,Final,2025-09-05T00:18:55,749,747,False,101,-181,-186,,,2025-09-05T00:20:00,69879,True,"{'StadiumID': 18, 'Name': 'Lincoln Financial Field', 'City': 'Philadelphia', 'State': 'PA', 'Country': 'USA', 'Capacity': 67594, 'PlayingSurface': 'Grass', 'GeoLat': 39.900833, 'GeoLong': -75.167469, 'Type': 'Outdoor'}"
202510129,1,2025,1,2025-09-05T20:00:00,KC,LAC,35,45,YT,8.2,78.7,F,,,,Scrambled,,,,0,16,16,15,0,12,16,12,12,0,True,False,True,True,True,True,True,False,,Final,87,2025-09-09T22:57:20,,,57,60,Overcast Clouds,60,9,-290,247,False,True,Scrambled,2025-09-05T00:00:00,2025-09-05T20:00:00,16,29,19054,16,29,-187,-176,19054,Final,2025-09-05T23:12:26,752,751,True,23,-177,-182,,,2025-09-06T00:00:00,47627,True,"{'StadiumID': 87, 'Name': 'Arena Corinthians', 'City': 'Sao Paulo', 'State': None, 'Country': 'Brazil', 'Capacity': 47252, 'PlayingSurface': 'Grass', 'GeoLat': -23.54525, 'GeoLong': -46.474278, 'Type': 'Outdoor'}"
202510102,1,2025,1,2025-09-07T13:00:00,TB,ATL,38,33,FOX,1.4,78.7,F,,,,Scrambled,,,,0,17,12,16,0,12,8,8,12,0,True,False,True,True,True,True,True,False,,Final,45,2025-09-09T22:57:20,,,66,66,Clear Sky,66,10,-184,-177,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,33,2,19055,33,2,-187,-179,19055,Final,2025-09-07T16:27:56,779,777,False,24,-179,-181,,,2025-09-07T17:00:00,71610,True,"{'StadiumID': 45, 'Name': 'Mercedes-Benz Stadium', 'City': 'Atlanta', 'State': 'GA', 'Country': 'USA', 'Capacity': 71000, 'PlayingSurface': 'Artificial', 'GeoLat': 33.755556, 'GeoLong': -84.401, 'Type': 'RetractableDome'}"
202510108,1,2025,1,2025-09-07T13:00:00,CIN,CLE,28,27,FOX,13.7,78.7,F,,,,Scrambled,,,,12,12,8,0,0,0,17,16,0,0,True,False,True,True,True,True,True,False,,Final,6,2025-09-09T22:57:20,,,50,50,Clear Sky,50,5,-393,328,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,7,8,19056,7,8,-182,-186,19056,Final,2025-09-07T16:02:17,769,767,False,47,-187,-177,,,2025-09-07T17:00:00,65599,True,"{'StadiumID': 6, 'Name': 'Huntington Bank Field', 'City': 'Cleveland', 'State': 'OH', 'Country': 'USA', 'Capacity': 67431, 'PlayingSurface': 'Grass', 'GeoLat': 41.506111, 'GeoLong': -81.699444, 'Type': 'Outdoor'}"
202510114,1,2025,1,2025-09-07T13:00:00,MIA,IND,13,55,CBS,-1.7,77.1,F,,,,Scrambled,,,,0,0,0,13,0,8,28,8,17,0,True,False,True,True,True,True,True,False,,Final,9,2025-09-09T22:57:20,,,51,54,Clear Sky,54,5,-169,-194,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,19,14,19057,19,14,-181,-181,19057,Final,2025-09-07T15:48:53,759,757,False,1,-184,-181,,,2025-09-07T17:00:00,64065,True,"{'StadiumID': 9, 'Name': 'Lucas Oil Stadium', 'City': 'Indianapolis', 'State': 'IN', 'Country': 'USA', 'Capacity': 67000, 'PlayingSurface': 'Artificial', 'GeoLat': 39.760056, 'GeoLong': -86.163806, 'Type': 'RetractableDome'}"
202510115,1,2025,1,2025-09-07T13:00:00,CAR,JAX,17,43,FOX,-7.5,75.4,F,,,,Scrambled,,,,8,0,0,12,0,8,28,0,16,0,True,False,True,True,True,True,True,False,,Final,10,2025-09-09T22:57:20,,,75,77,Light Rain,77,3,313,-373,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,5,15,19058,5,15,-182,-182,19058,Final,2025-09-07T17:13:39,762,761,False,125,-187,-179,,,2025-09-07T17:00:00,59957,True,"{'StadiumID': 10, 'Name': 'EverBank Stadium', 'City': 'Jacksonville', 'State': 'FL', 'Country': 'USA', 'Capacity': 67814, 'PlayingSurface': 'Grass', 'GeoLat': 30.323889, 'GeoLong': -81.6375, 'Type': 'Outdoor'}"
202510121,1,2025,1,2025-09-07T13:00:00,LV,NE,33,22,CBS,-4.1,72.9,F,,,,Scrambled,,,,12,0,17,8,0,12,8,0,8,0,True,False,True,True,True,True,True,False,,Final,4,2025-09-09T22:57:20,,,57,58,Overcast Clouds,58,5,202,-239,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,25,21,19059,25,21,-174,-189,19059,Final,2025-09-07T16:06:39,772,771,False,110,-182,-186,,,2025-09-07T17:00:00,64628,True,"{'StadiumID': 4, 'Name': 'Gillette Stadium', 'City': 'Foxborough', 'State': 'MA', 'Country': 'USA', 'Capacity': 64628, 'PlayingSurface': 'Artificial', 'GeoLat': 42.090866, 'GeoLong': -71.264244, 'Type': 'Outdoor'}"
202510122,1,2025,1,2025-09-07T13:00:00,ARI,NO,33,22,CBS,16.5,72.9,F,,,,Scrambled,,,,8,23,8,0,0,0,17,0,8,0,True,False,True,True,True,True,True,False,,Final,27,2025-09-19T15:40:05,,,78,80,Scattered Clouds,80,10,-469,383,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,1,22,19060,1,22,-184,-182,19060,Final,2025-09-07T16:02:29,775,774,False,76,-186,-182,,,2025-09-07T17:00:00,70006,True,"{'StadiumID': 27, 'Name': 'Caesars Superdome', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'Capacity': 73208, 'PlayingSurface': 'Artificial', 'GeoLat': 29.950833, 'GeoLong': -90.081111, 'Type': 'Dome'}"
202510124,1,2025,1,2025-09-07T13:00:00,PIT,NYJ,56,53,CBS,8.2,63.0,F,,,,Scrambled,,,,12,17,0,28,0,15,17,12,16,0,True,False,True,True,True,True,True,False,,Final,3,2025-09-09T22:57:20,,,58,61,Broken Clouds,61,7,-278,234,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,28,24,19061,28,24,-182,-181,19061,Final,2025-09-07T16:08:56,756,754,False,112,-184,-181,,,2025-09-07T17:00:00,83253,True,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
202510135,1,2025,1,2025-09-07T13:00:00,NYG,WAS,16,35,FOX,-9.9,75.4,F,,,,Scrambled,,,,0,8,8,0,0,12,12,0,12,0,True,False,True,True,True,True,True,False,,Final,19,2025-09-09T22:57:20,,,56,58,Clear Sky,58,5,383,-464,False,True,Scrambled,2025-09-07T00:00:00,2025-09-07T13:00:00,23,35,19062,23,35,-179,-184,19062,Final,2025-09-07T16:17:29,766,764,False,66,-182,-182,,,2025-09-07T17:00:00,64544,True,"{'StadiumID': 19, 'Name': 'Northwest Stadium', 'City': 'Landover', 'State': 'MD', 'Country': 'USA', 'Capacity': 62000, 'PlayingSurface': 'Grass', 'GeoLat': 38.907778, 'GeoLong': -76.864444, 'Type': 'Outdoor'}"
